# The format of each line is
# <NearAS, NearBR, FarAS, DstPrfx>|(FarIPs in IXP),(FarIPs not in IXP)
<AS6939, jnb1, AS8674, 2001:67c:1010::/48>|(2001:43f8:1f0::27, 2001:43f8:6d0::9:160);()
<AS6939, jnb1, AS714, 2620:149:aa9::/48>|(2001:43f8:6d0::9:162, 2001:43f8:6d0::9:161);()
<AS6939, jnb1, AS42, 2001:500:14::/48>|(2001:43f8:1f0::16, 2001:43f8:6d0::9:182);()
<AS6939, jnb1, AS3856, 2620:0:870::/48>|(2001:43f8:1f0::17, 2001:43f8:6d0::9:183);()
<AS6939, jnb1, AS199524, 2a03:90c0:9990::/48>|(2001:43f8:6d0::9:188, 2001:43f8:6d0::9:192);()
<AS6939, jnb1, AS32590, 2a01:bc80:b::/48>|(2001:43f8:6d0::9:22, 2001:43f8:6d0::9:21);()
<AS6939, jnb1, AS328206, 2001:43f8:360::/48>|(2001:43f8:1f0::242, 2001:43f8:6d0::9:66);()
<AS6939, jnb1, AS22822, 2607:f4e8:ac::/48>|(2001:43f8:6d0::8:85, 2001:43f8:6d0::9:85);()
<AS6939, dur1, AS2018, 2001:4200:7000::/48>|(2001:43f8:1f2::33, 2001:43f8:6d2::216);()
<AS6939, pao1, AS2152, 2607:f380:a5f::/48>|(2001:504:d::f);(2001:468:e00:841::1)
<AS6939, sin1, AS9498, 2401:4900:50::/48>|(2001:de8:4::9498:1);(2001:470:0:2d::2)
<AS6939, lax2, AS4134, 2400:9380:8003::/48>|();(2605:9d80:8004::5, 2001:470:0:38e::2)
<AS6939, tyo1, AS4637, 2001:cb0:20d::/48>|(2001:7fa:7:1::4637:1);(2001:470:0:395::2)
<AS6939, ams1, AS30132, 2001:500:60::/48>|();(2001:470:0:9a::3, 2001:470:0:9a::2)
<AS6939, yeg1, AS40119, 2620:fc::/48>|();(2001:470:1:104::3, 2001:470:1:104::2)
<AS6939, sjc2, AS55651, 2406:bd00:de50::/48>|(2001:504:0:1:0:5:5651:1);(2001:470:1:199::2)
<AS6939, sin1, AS45430, 2405:9800:10::/48>|();(2001:470:1:b7f::2, 2001:470:1:1dd::2)
<AS6939, lax2, AS4826, 2001:df1:4600::/48>|(2001:504:13::210:136);(2001:470:1:22e::2)
<AS6939, yxe1, AS22950, 2620:ae::/48>|();(2001:470:1:2d4::3, 2001:470:1:2d4::2)
<AS6939, msp1, AS16904, 2620:4d:e000::/48>|(2001:504:27::4208:0:1);(2001:470:1:315::2)
<AS6939, sin1, AS17451, 2404:8000:1::/48>|(2001:ded::1d);(2001:470:1:389::2)
<AS6939, sin1, AS38040, 2001:df0:62::/48>|();(2001:470:1:60::2, 2001:470:1:3c7::2)
<AS6939, las1, AS22937, 2607:ff38:3::/48>|();(2001:470:1:40e::2, 2001:470:1:40e::3)
<AS6939, sin1, AS4826, 2001:df0:421::/48>|(2001:de8:4::4826:1);(2001:470:1:566::2)
<AS6939, tor1, AS27299, 2620:10a:80d1::/48>|();(2001:470:1:58b::2, 2001:470:1:58b::3)
<AS6939, sin1, AS135372, 2001:df1:d200::/48>|();(2001:470:1:683::2, 2001:470:1:683::3)
<AS6939, sjc2, AS50837, 2a01:9980:1::/48>|();(2001:470:1:95a::3, 2001:470:1:95a::2)
<AS6939, las1, AS53667, 2605:6400:100::/48>|();(2001:470:1:a07::2, 2001:470:1:964::2)
<AS6939, ams1, AS41887, 2a02:120:2::/48>|();(2001:470:1:a43::2, 2001:470:1:a42::2)
<AS6939, fmt2, AS60011, 2a04:ad80:2::/48>|();(2001:470:1:23e::2, 2001:470:1:b47::2)
<AS6939, yeg1, AS36140, 2620:58:c400::/48>|();(2001:470:1:bd2::2, 2001:470:1:bd1::2)
<AS6939, mia1, AS13489, 2801:162::/48>|(2001:504:40:108::1:24);(2001:478:124::172)
<AS6939, sjc2, AS10310, 2001:43f8:1140::/48>|(2001:504:0:1:0:1:310:2, 2001:504:0:1:0:1:310:1);()
<AS6939, sjc2, AS15211, 2001:df0:440::/48>|(2001:504:0:1:0:1:5211:2, 2001:504:0:1:0:1:5211:1);()
<AS6939, sjc2, AS16880, 2620:101:4036::/48>|(2001:504:0:1:0:1:6880:2, 2001:504:0:1:0:1:6880:1);()
<AS6939, sjc2, AS19679, 2620:100:601a::/48>|(2001:504:0:1:0:1:9679:1, 2001:504:0:1:0:1:9679:3);()
<AS6939, sjc2, AS198018, 2a0b:1301:8001::/48>|(2001:504:0:1:0:19:8018:1, 2001:504:0:1:0:19:8018:2);()
<AS6939, sjc2, AS25605, 2a00:9600:8440::/48>|(2001:504:0:1:0:2:5605:2, 2001:504:0:1:0:2:5605:1);()
<AS6939, sjc2, AS27281, 2620:116:801c::/48>|(2001:504:0:1:0:2:7281:1, 2001:504:0:1:0:2:7281:2);()
<AS6939, sjc2, AS33438, 2001:1938:7008::/48>|(2001:504:0:1:0:3:3438:2, 2001:504:0:1:0:3:3438:1);()
<AS6939, sjc2, AS22518, 2620:106:e00f::/48>|(2001:504:0:1:0:4:428:4, 2001:504:0:1:0:4:428:3);()
<AS6939, sjc2, AS54113, 2a04:4e40:2000::/48>|(2001:504:0:1:0:5:4113:2, 2001:504:0:1:0:5:4113:1);()
<AS6939, sjc2, AS54588, 2607:f6f0:201::/48>|(2001:504:0:1:0:5:4588:2, 2001:504:0:1:0:5:4588:1);()
<AS6939, sjc2, AS55219, 2620:28:c000::/48>|(2001:504:0:1:0:5:5219:1, 2001:504:0:1:0:5:5219:2);()
<AS6939, mia1, AS714, 2403:300:a10::/48>|(2001:504:0:6::714:1, 2001:504:0:6::714:2);()
<AS6939, mia1, AS13030, 2001:67c:7ac::/48>|(2001:504:40:108::1:28, 2001:504:0:6:0:1:3030:1);()
<AS6939, mia1, AS13335, 2400:cb00:11::/48>|(2001:504:40:108::1:18, 2001:504:0:6:0:1:3335:1);()
<AS6939, mia1, AS15169, 2001:4860:4864::/48>|(2001:504:40:108::1:12, 2001:504:0:6:0:1:5169:1);()
<AS6939, mia1, AS199524, 2a03:90c0:9996::/48>|(2001:504:40:108::1:115, 2001:504:0:6:0:19:9524:1);()
<AS6939, mia1, AS29802, 2602:fff6:f::/48>|(2001:504:40:108::1:123, 2001:504:0:6:0:2:9802:1);()
<AS6939, nyc6, AS6233, 2a09::/48>|(2001:504:36::1859:0:1, 2001:504:1::a500:6233:1);()
<AS6939, nyc6, AS13030, 2001:67c:7ac::/48>|(2001:504:36::32e6:0:1, 2001:504:1::a501:3030:1);()
<AS6939, nyc6, AS13768, 2620:11c:c001::/48>|(2001:504:36::35c8:0:1, 2001:504:1::a501:3768:1);()
<AS6939, nyc6, AS17378, 2604:7e00:1::/48>|(2001:504:36::43e2:0:1, 2001:504:1::a501:7378:1);()
<AS6939, nyc6, AS22822, 2402:6800:730::/48>|(2001:504:36::5926:0:1, 2001:504:1::a502:2822:1);()
<AS6939, nyc6, AS33438, 2001:1938:7006::/48>|(2001:504:1::a503:3438:2, 2001:504:1::a503:3438:1);()
<AS6939, nyc6, AS52320, 2001:49f0:d0e6::/48>|(2001:504:36::cc60:0:1, 2001:504:1::a505:2320:1);()
<AS6939, nyc6, AS14061, 2604:a880::/48>|(2001:504:36:0:6:be:0:1, 2001:504:1::a506:2567:2);()
<AS6939, sea1, AS32590, 2602:801:f000::/48>|(2001:504:16::7f4e, 2001:504:12::3:2590:1);()
